Proc_krawedzi;Dijkstra;BellmanFord
0.010101;49299.2;1.24103e+06
0.0151515;88206.4;1.92272e+06
0.020202;113017;2.63703e+06
0.0252525;121535;3.25705e+06
0.030303;157109;4.28089e+06
0.0353535;152037;4.67813e+06
0.040404;174512;5.91573e+06
0.0454545;185137;6.34751e+06
0.0505051;207364;7.50397e+06
0.0555556;225688;7.92206e+06
0.0606061;207966;8.65859e+06
0.0656566;215046;9.39997e+06
0.0707071;259849;1.03514e+07
0.0757576;238287;1.15112e+07
0.0808081;294316;1.20132e+07
0.0858586;271893;1.32305e+07
0.0909091;366616;1.55301e+07
0.0959596;319185;1.65945e+07
0.10101;324585;1.58035e+07
0.106061;321701;1.73826e+07
0.111111;379965;1.84841e+07
0.116162;342913;2.00629e+07
0.121212;360090;2.17842e+07
0.126263;402900;2.22074e+07
0.131313;498034;2.39231e+07
0.136364;490071;2.50428e+07
0.141414;438990;2.8664e+07
0.146465;480860;2.91998e+07
0.151515;474986;2.98139e+07
0.156566;476199;3.08931e+07
0.161616;517192;3.20476e+07
0.166667;494339;3.3487e+07
0.171717;526810;3.57076e+07
0.176768;560106;3.73831e+07
0.181818;568627;3.91436e+07
0.186869;586966;4.30947e+07
0.191919;649550;4.39629e+07
0.19697;622932;4.592e+07
0.20202;629258;4.79728e+07
0.207071;707730;4.94629e+07
0.212121;797980;5.2327e+07
0.217172;703005;5.44252e+07
0.222222;773175;5.6164e+07
0.227273;779964;5.87969e+07
0.232323;860540;6.1996e+07
0.237374;787079;6.38463e+07
0.242424;885486;6.69318e+07
0.247475;920828;7.00685e+07
0.252525;1.02899e+06;7.77248e+07
0.257576;1.20519e+06;7.41961e+07
0.262626;1.09509e+06;7.67614e+07
0.267677;991551;8.03214e+07
0.272727;1.14093e+06;8.4494e+07
0.277778;1.34011e+06;8.76849e+07
0.282828;1.21278e+06;9.04678e+07
0.287879;1.52393e+06;9.32318e+07
0.292929;1.35085e+06;9.60641e+07
0.29798;1.27291e+06;9.90331e+07
0.30303;1.78517e+06;1.15293e+08
0.308081;1.40513e+06;1.24755e+08
0.313131;1.43489e+06;1.14432e+08
0.318182;1.62792e+06;1.15736e+08
0.323232;1.39426e+06;1.16755e+08
0.328283;1.46035e+06;1.23636e+08
0.333333;1.78101e+06;1.28042e+08
0.338384;1.65814e+06;1.28285e+08
0.343434;1.65178e+06;1.32953e+08
0.348485;1.71485e+06;1.36119e+08
0.353535;1.84113e+06;1.59186e+08
0.358586;1.81663e+06;1.60079e+08
0.363636;1.85168e+06;1.55893e+08
0.368687;1.70936e+06;1.54278e+08
0.373737;1.76696e+06;1.61281e+08
0.378788;1.85338e+06;1.62406e+08
0.383838;1.96964e+06;1.66759e+08
0.388889;2.30944e+06;1.69581e+08
0.393939;2.02999e+06;1.75745e+08
