Krawedzie;Dijkstra;BellmanFord
0;7123.6;15064.2
1;3983.4;16206.6
2;8440.2;23548.4
3;4408.4;17058.4
4;4278;19026
5;4571;20186
6;4895.2;20637
7;5165.8;25045.6
8;6466.4;27029.2
9;5797;23993.6
10;5251.8;24013.6
11;5542.6;24889.2
12;5542.4;25886.8
13;5667;25532.4
14;6095.6;27347.8
15;6310;28159.4
16;6011.6;30313.4
17;6268;29692.6
18;6273.8;29059.2
19;6105.6;30012.6
20;6386;29782.6
21;6378;31323
22;6248;31898.4
23;6602.4;32285.2
24;6734.6;33513.6
25;6490.2;31950.4
26;6600.4;32884.6
27;6914.8;34315
28;6887;35513.2
29;8872.8;44929.4
30;7039.2;37467
31;7309.8;35754
32;8269.6;44388.2
33;7091.4;35707.6
34;7197.6;36797.6
35;7147.6;36162.6
36;7528.2;39264.4
37;7229.4;38491.2
38;6949.2;37116.2
39;7518.2;38753.4
40;7256;38280.6
41;8867.2;38096.2
42;7686.8;40570.6
43;7466.2;39537.2
44;7314;38689.4
45;7546.4;38763.4
46;7924.8;41535
47;8005.2;44830.8
48;7624.6;39695
49;7574.4;39569
50;16409;40961.8
51;7784.2;41484.2
52;8017.4;41342.4
53;7957;39697.2
54;7908.8;41504.8
55;7816.6;41643.2
56;8000.8;40681
57;8109.4;42254.2
58;8089.2;40980.2
59;7876.8;42534.8
60;9897;51900.2
61;8019;41679
62;8057.4;41598.6
63;8035.2;44667
64;8031.4;41457
65;7935;41925.6
66;7901.2;45155.6
67;8365.6;46858.8
68;8430;55819.8
69;8163.6;41991.8
70;8714.6;44326.2
71;9079;46580.2
72;8702.4;44939.4
73;12906.2;46708.4
74;8061;42000
75;8247.4;41919.4
76;8221.6;41971.4
77;8131;42340.6
78;8500.2;42462.6
79;8523.8;42350.4
80;9530.2;56006.2
81;10056.8;49434
82;8387.8;44260
83;8860.8;45432.2
84;8448.2;42921.4
85;8368;43510.6
86;8281.8;42664.6
87;8718.8;46758.6
88;8313.8;43033.6
89;8926.6;67135.4
90;14938.2;57032.2
91;11034.6;58412.8
92;8622.6;45534
93;10760.6;49351.4
94;9477.8;52213
95;8756.4;43496.4
96;8546.2;44223.8
97;9137.6;45682.2
98;8476.2;43789.2
99;8439.8;43374.6
100;8305.6;43937.6
