Wierzcholki;Dijkstra;BellmanFord
2;1300;1040
3;2240;1920
4;2080;1840
5;2260;2260
6;3100;2880
7;3020;3180
8;3440;3640
9;4040;4140
10;4320;4640
11;4680;5280
12;5180;6020
13;6160;6880
14;6760;7420
15;6300;8040
16;6580;8760
17;7280;9420
18;9920;10500
19;8420;11660
20;12340;17820
21;9040;13540
22;9480;14260
23;9800;16500
24;11300;16100
25;10800;17000
26;11360;18700
27;12720;20760
28;11820;20520
29;12460;21340
30;12740;22540
31;13300;23820
32;13700;24880
33;16340;29540
34;27820;33740
35;16080;30340
36;21960;39060
37;18200;34380
38;17020;33400
39;20000;35820
40;17500;36260
41;18200;37900
42;20020;39440
43;19760;42560
44;19620;42840
45;33180;67660
46;20940;46020
47;21060;48160
48;21260;49800
49;27120;65920
50;22200;56940
51;42820;79620
52;23280;60360
53;24060;59360
54;24120;60920
55;37620;88660
56;35220;86580
57;25700;66840
58;39200;98140
59;32640;93560
60;37580;105840
61;41240;106840
62;39000;108760
63;32380;104700
64;32360;83040
65;33740;85380
66;30740;87100
67;35360;102120
68;31680;94100
69;40340;115160
70;33360;99400
71;47620;135680
72;42180;117640
73;41780;129460
74;38480;108240
75;39800;110700
76;36360;113700
77;36800;124480
78;37300;118880
79;42400;121240
80;42560;128980
81;39620;127420
82;40020;129520
83;40860;136200
84;40960;136320
85;51000;167500
86;47060;150080
87;42720;144880
88;46800;151100
89;45680;149920
90;44080;157900
91;47280;165720
92;51500;179480
93;47680;166400
94;54460;171920
95;47480;170880
96;49960;182380
97;54400;192780
98;74400;256120
99;49980;188000
100;55380;193240
