Wierzcholki;Dijkstra;BellmanFord
2;900;360
3;1360;560
4;1420;620
5;1860;840
6;2320;1080
7;2620;1300
8;2900;1540
9;3560;1860
10;3900;2180
11;4300;2460
12;4780;2860
13;5140;3200
14;5600;3640
15;6160;3960
16;6540;4440
17;8060;5260
18;8040;5520
19;8980;6360
20;12760;9840
21;10040;7380
22;10400;7840
23;11240;8340
24;11540;8940
25;12400;9600
26;13280;10500
27;14260;11240
28;14140;11720
29;15120;12540
30;15620;13220
31;16340;14080
32;17120;14880
33;18400;15920
34;19240;16860
35;21100;17880
36;27400;24040
37;22240;20120
38;22640;20760
39;23460;21660
40;24260;22660
41;26320;23720
42;26180;24840
43;27180;25960
44;27960;27020
45;44440;41400
46;30500;29480
47;31540;31120
48;32280;31900
49;33020;33140
50;35320;34480
51;51480;49300
52;36420;37080
53;38540;40440
54;38680;39820
55;52240;53620
56;52420;54360
57;42300;44160
58;60360;60720
59;64700;91400
60;56000;60740
61;66520;69380
62;67040;73580
63;50060;55120
64;51120;55280
65;53580;59140
66;54380;58720
67;65080;60600
68;58680;64900
69;91840;111120
70;60300;65920
71;83080;88000
72;69520;77180
73;68000;73000
74;66020;73240
75;67280;75740
76;68900;77120
77;70380;79520
78;72200;82000
79;73840;83500
80;75140;85040
81;77020;87620
82;81580;96000
83;80200;92340
84;81600;94300
85;83160;95500
86;84880;97780
87;86460;100380
88;89300;102620
89;97160;112280
90;91820;106620
91;103500;113920
92;95320;111940
93;97320;114020
94;112860;116160
95;102740;118340
96;125600;141740
97;114680;145780
98;108640;135400
99;115220;129660
100;109480;131340
