Krawedzie;Macierz_sasiedztwa;Lista_sasiedztwa;Lista_krawedzi
0;18607.2;12309.6;88165.2
1;16886;15892;100296
2;18565.2;15052.6;116463
3;18327.2;17282.6;114244
4;20476.8;16407;134617
5;20655.4;17866;164786
6;31648;27169.6;211467
7;28828.6;20569.2;203738
8;23899.2;20298.8;205682
9;29658.2;29734.6;254225
10;27622.2;22577.2;261930
11;26259.6;24255.8;293304
12;28556;25378;327280
13;30043.2;27192;325675
14;27968.8;26167.6;357517
15;29740.6;27722.6;401635
16;29572.2;28792.8;437924
17;30409.4;30004.8;479943
18;32133.2;29914.6;478879
19;31567.8;34116.6;526277
20;31904.4;31958.8;537041
21;40659.2;52511.4;799531
22;35278.6;35332.8;665008
23;37575.4;43145.6;682148
24;36447.2;40617.2;745779
25;34812;40745.4;787923
26;41590.8;53203;831513
27;37002;40412.4;889818
28;35938;39442.8;874430
29;35587.4;58042;951114
30;35507.2;43354;1.02002e+06
31;36300.6;44085.6;1.09795e+06
32;47638.2;56905.8;1.15381e+06
33;36868;45388;1.06964e+06
34;52553.4;68271.2;1.23113e+06
35;36753.6;49475.8;1.28565e+06
36;37915.6;49387.4;1.35991e+06
37;37495.2;50742.2;1.45339e+06
38;37489;50213;1.43986e+06
39;39120;51880.4;1.38006e+06
40;41192.4;59505;1.59427e+06
41;37789.2;58799.2;1.62351e+06
42;38386.8;56342.6;1.74523e+06
43;38705.6;57621.2;1.72496e+06
44;38184.2;59907.4;1.84116e+06
45;49351.6;62715;1.99787e+06
46;40981.8;61831.2;2.03091e+06
47;45636.4;66730.6;2.16979e+06
48;39923.8;68399.6;2.2047e+06
49;39556.8;66511.8;2.12375e+06
50;40807.2;64652.2;2.30853e+06
51;41891.6;67367.4;2.39289e+06
52;43847;67890.6;2.41214e+06
53;41492.2;72519.4;2.55114e+06
54;41440.6;70896.2;2.60527e+06
55;42069.6;88427.4;2.73523e+06
56;44185.6;82725;2.86206e+06
57;40813;77290.6;2.86797e+06
58;43121.8;95853.4;2.99842e+06
59;51265.2;79328.2;3.07139e+06
60;53487.4;86020.8;3.20141e+06
61;41412.6;79090.2;3.33228e+06
62;42177.8;80552.6;3.3677e+06
63;41356.4;99817.2;3.3456e+06
64;41324.2;83556.4;3.40993e+06
65;43796.8;84085.4;3.70906e+06
66;41832.8;84415.8;4.1756e+06
67;42236.2;90565.6;3.96641e+06
68;43149.8;87371.6;3.95585e+06
69;42478.6;91673.6;4.01346e+06
70;43047.4;89844.2;4.16118e+06
71;46535.8;95264.6;4.42027e+06
72;42530.6;92603.4;4.33036e+06
73;42949.4;93096.4;4.3774e+06
74;46734.2;97733.2;5.10133e+06
75;45069.4;95951.8;5.43435e+06
76;44813.2;102757;4.8497e+06
77;44352.2;100961;4.85348e+06
78;42436.4;98883.2;4.32429e+06
79;45882.8;113769;5.02595e+06
80;60382.2;152687;5.391e+06
81;45119.2;108900;5.54993e+06
82;43560.6;116212;5.84248e+06
83;44919.4;133306;5.93941e+06
84;43454.2;118573;5.73061e+06
85;54300.6;112078;5.94733e+06
86;44770.6;120194;6.08882e+06
87;42640.6;117286;8.65086e+06
88;51277;150433;6.31626e+06
89;42909.2;125222;6.22614e+06
90;58485;137326;6.37272e+06
91;51365.6;122031;6.60167e+06
92;43828.6;123646;6.82579e+06
93;43031.8;127193;6.8683e+06
94;46401.8;162073;7.03596e+06
95;44213.6;151399;7.22151e+06
96;59893.4;140228;7.43383e+06
97;43973.2;129167;8.45425e+06
98;42642.8;127361;7.5895e+06
99;58996.2;132298;7.89367e+06
100;53219;133711;7.84907e+06
