Krawedzie;Macierz_sasiedztwa;Lista_sasiedztwa;Lista_krawedzi
0;3881.4;3807.2;10718.2
1;3970;4576.4;12423.8
2;4374.2;4304.2;14335.4
3;4015.4;4242;14371.4
4;4209.8;4701;16335
5;4716.8;4951.4;20033.8
6;6187.8;7211.4;26688.4
7;11004.8;5538.6;23691
8;5528.6;5229.8;24133.6
9;8181.6;7448;28742.8
10;5768.8;5526.4;30720.4
11;5680.4;5725;32938.6
12;5691;6019.2;36663.4
13;6289.8;5969;35958
14;5813.2;6183.6;42202
15;6314;6168;41639
16;6041.4;6772.8;47163.2
17;6085.6;6532.4;51259.4
18;6492.2;6508.2;51529.6
19;6877;6652.4;55661.2
20;6394;6662.4;59893.8
21;9013;9682.6;62901
22;6963.4;7420;70145.2
23;8133.2;8351.6;73946
24;7492.2;8121.4;74811.6
25;7083.6;7512;81354
26;10265.6;10285.2;88632
27;6921;7964.8;92803.8
28;7003.4;7510.2;85742
29;7179.6;8235.4;102554
30;7247.8;8135.4;105157
31;6973.4;8189.4;109515
32;11732;10610.2;113148
33;7103.6;8293.8;121548
34;10501.8;12369.4;128712
35;7424.2;8646.2;132403
36;7245.8;8652.6;141759
37;7568.2;9373.8;147464
38;7560.4;9217.4;148229
39;7287.8;8970.8;130978
40;7982.8;10754.2;165275
41;7468.6;9816.8;154907
42;7792.4;9470.2;182626
43;7826.6;9682.4;175440
44;7470.2;11277.2;181940
45;9612.2;10800.2;204217
46;8213.6;10858.6;208823
47;9061;10557.8;223161
48;7664.6;10702.6;215713
49;7578.2;10486;215731
50;7902.8;10714.2;240069
51;8724.6;11483.6;248032
52;7903.2;11111;257259
53;7928.6;11075;269042
54;7875;11724;281606
55;8452;13006.8;273035
56;8451.8;14132.6;283008
57;7940.8;12826.4;299429
58;8560.2;14182.8;305797
59;8055.4;13874.2;317862
60;9802.8;14267.4;338846
61;8203.6;12243.2;310717
62;8492.2;12666.2;310855
63;8133.2;14976.2;350406
64;8203.6;12483.8;360140
65;9846.6;13078.8;375210
66;8103.2;13076.8;374151
67;8414;13117;386334
68;8398;13435.2;391337
69;8574;14242.8;397553
70;8427.8;13956.4;425957
71;8594.4;15234.6;404829
72;8880.8;13916.6;446768
73;8614.2;14261.2;450666
74;8884.6;14379.2;445863
75;8650.2;14938.2;457328
76;9293.4;15160.6;483454
77;8920.8;14860;478462
78;8632.2;22023.8;476560
79;8644.4;16573.6;523233
80;10828.4;21496.8;528721
81;9416;15960.4;561407
82;8472.2;17306.8;601063
83;9353.6;19202.2;586046
84;8807;19791.4;580816
85;9720.2;16631.2;616652
86;8618;16701.2;609176
87;8408.2;16857.8;746711
88;13249;21052;588587
89;8752.6;17188.4;638327
90;11062.8;19667.2;619834
91;8890.8;17394.8;693155
92;8524;17553.6;713165
93;8794.8;18539;709085
94;8836.6;19983.6;712638
95;8638.4;21156.4;720701
96;12199;18875.8;764713
97;8732.6;18174.4;781731
98;8480.2;18857.6;779329
99;12189;23763.2;789680
100;11505.8;26017.2;817737
