Wierzcholki;Macierz_sasiedztwa;Lista_sasiedztwa;Lista_krawedzi
2;460;2020;960
3;580;1580;680
4;800;2080;1060
5;1020;2520;1280
6;1120;3120;1560
7;1260;3400;1860
8;1580;3980;2160
9;1900;6100;2580
10;2160;5000;2940
11;2400;5560;3340
12;2820;6100;3920
13;3180;7060;4540
14;3560;7600;5020
15;3920;8320;5680
16;4400;9620;6220
17;5160;10020;7000
18;5660;10800;7660
19;6200;11720;8360
20;6680;14560;10380
21;7260;13260;9960
22;7840;14340;10880
23;8440;15160;11500
24;9060;16260;12260
25;9740;17300;13380
26;10480;18600;14640
27;11220;19440;15280
28;12200;21640;18040
29;12800;22020;17380
30;14320;23100;18460
31;14180;24400;19680
32;15060;25460;20740
33;16620;27200;22800
34;17180;28340;23620
35;17940;29860;24580
36;18880;31000;26460
37;19840;32320;27260
38;21380;34240;35340
39;22040;35760;29860
40;23140;38880;35260
41;24040;38440;34320
42;25360;40040;35040
43;26300;41680;36580
44;27700;43600;38360
45;28840;45380;47180
46;29940;46980;41980
47;30980;50460;43440
48;32380;50560;49940
49;33800;52240;46720
50;35040;54180;48720
51;36000;55560;50820
52;37660;58260;55280
53;38580;59820;53820
54;40160;63440;55700
55;41320;63520;61620
56;43160;65840;60380
57;44240;67540;62900
58;45780;69500;63520
59;47320;79640;68240
60;49180;74280;67900
61;50840;76300;70000
62;51980;78240;73780
63;55180;83980;73840
64;56760;83660;83960
65;57540;87980;80940
66;59140;89120;83080
67;64680;93460;85760
68;62620;94960;89200
69;64540;97020;89980
70;66020;99640;94020
71;71280;101120;97660
72;69980;103920;99280
73;76740;107920;100900
74;74080;110360;106200
75;75620;113000;107640
76;119900;116060;110380
77;79440;121620;111300
78;81940;121680;116660
79;83520;122740;116800
80;85120;125100;126220
81;87520;132380;125940
82;95300;132740;133580
83;99740;135880;126360
84;93600;137780;133980
85;96260;139460;133300
86;98720;143280;139440
87;100360;147640;142460
88;123120;158700;147460
89;105040;153280;147420
90;107360;156360;152480
91;109780;158760;155520
92;111760;161760;159660
93;116760;166680;159840
94;116960;169600;164480
95;119760;175120;168200
96;121800;176080;172960
97;124740;177640;193860
98;127020;187220;184480
99;132720;185980;182540
100;132280;187680;187320
