Wierzcholki;Macierz_sasiedztwa;Lista_sasiedztwa;Lista_krawedzi
2;1360;1640;1560
3;1520;3200;1800
4;1600;2140;2740
5;2140;2420;3600
6;2320;3220;4600
7;2520;3000;5900
8;2960;3420;7360
9;3440;4700;9300
10;3840;4360;11120
11;4220;4840;13620
12;4640;5080;16660
13;5100;5620;20140
14;5540;5660;24240
15;6020;6500;29440
16;6440;7320;34920
17;7300;7280;41480
18;7780;7780;48720
19;8460;9320;57560
20;9000;9540;71660
21;9660;9200;76680
22;10100;9360;88140
23;10900;9940;100840
24;11440;10260;114840
25;12200;10700;130000
26;12760;12640;146460
27;13580;11640;164560
28;14480;14020;183880
29;15100;12680;206940
30;15920;12720;229460
31;16300;13380;253780
32;16960;13460;280800
33;18680;14660;309940
34;19300;15080;339140
35;20060;17480;371640
36;20840;15900;400300
37;21780;16520;441740
38;22760;16580;480800
39;23740;17360;520260
40;24860;21660;553780
41;25740;18440;605420
42;27720;18720;661180
43;27260;19280;708340
44;28260;19500;760940
45;29540;20300;768440
46;30200;20560;873920
47;31140;23100;941620
48;32460;21320;1.02282e+06
49;33880;22160;1.07112e+06
50;34800;25140;1.13458e+06
51;35340;22900;1.2071e+06
52;36540;25620;1.3309e+06
53;37660;23880;1.36606e+06
54;40920;24260;1.44688e+06
55;39820;25020;1.53462e+06
56;41960;25220;1.62386e+06
57;42160;25880;1.7139e+06
58;43400;26040;1.80954e+06
59;44560;29480;1.93922e+06
60;45240;26720;2.00526e+06
61;48120;28280;2.11758e+06
62;48080;28040;2.23976e+06
63;49720;30220;2.34018e+06
64;51000;32440;2.4805e+06
65;55580;34000;2.59406e+06
66;55100;30840;2.70972e+06
67;62180;36200;2.84364e+06
68;57180;31920;3.00874e+06
69;58940;32820;3.11948e+06
70;59760;36660;3.3053e+06
71;62260;33800;3.44554e+06
72;62740;34140;3.5729e+06
73;64060;35520;3.76976e+06
74;66500;35640;3.88418e+06
75;70200;35920;4.07312e+06
76;101620;38420;4.17968e+06
77;70800;40660;4.4348e+06
78;71620;39480;4.58324e+06
79;73880;38780;4.73704e+06
80;74800;41820;4.9499e+06
81;76760;42900;5.17078e+06
82;86420;40840;5.3001e+06
83;88680;40680;5.61788e+06
84;81620;41040;5.84084e+06
85;83400;43180;6.08582e+06
86;85220;47840;6.28008e+06
87;89940;47480;6.40966e+06
88;110720;46580;6.58676e+06
89;90300;48420;6.9543e+06
90;93240;44700;7.16426e+06
91;94020;46820;7.47964e+06
92;96780;47360;7.80126e+06
93;100480;46420;7.90844e+06
94;99040;46960;8.23714e+06
95;101500;47800;8.51378e+06
96;102740;55200;9.03506e+06
97;104760;48500;9.4258e+06
98;105840;49240;9.45822e+06
99;108620;50260;9.80914e+06
100;109900;50600;1.02242e+07
