Wierzcholki;Macierz_sasiedztwa;Lista_sasiedztwa;Lista_krawedzi
2;460;1420;540
3;760;1980;820
4;1080;2400;1120
5;1300;3020;1380
6;1900;3920;2060
7;2220;4420;2320
8;2700;5240;2820
9;2820;6780;3180
10;3580;7560;4060
11;4000;7180;4380
12;4700;8780;5380
13;6200;14780;7480
14;6960;10260;6600
15;6620;11640;7460
16;7720;12740;8460
17;8020;13560;8900
18;8780;14820;10260
19;9460;15820;11040
20;10860;17100;14640
21;11540;18300;13200
22;12520;20060;14560
23;13520;21460;15620
24;14600;22940;16940
25;15880;24340;18120
26;18540;51700;25780
27;17800;27420;20620
28;19760;29160;22240
29;20540;30660;23600
30;21960;32600;25080
31;22960;34180;26600
32;24560;36080;28540
33;26440;37960;30120
34;27640;40060;31600
35;31980;48660;35320
36;30580;44380;35840
37;32140;45900;37400
38;34020;48500;39400
39;35200;50220;40880
40;37480;52780;43860
41;38880;55500;45120
42;56500;79500;47740
43;42600;61300;49260
44;44680;64620;52320
45;46340;64560;53880
46;48700;67460;56720
47;50400;69620;58740
48;65020;73180;63440
49;54440;75260;63520
50;56920;78120;67180
51;58360;89180;70780
52;61380;83760;71860
53;115920;86260;74580
54;65600;89420;77600
55;67740;93120;79340
56;70660;95280;83240
57;72440;136480;85180
58;75180;108800;87980
59;77720;107300;92640
60;80660;108440;95220
61;82500;123580;96260
62;85620;114520;101640
63;87400;116940;102860
64;90720;142180;116040
65;97560;126380;109120
66;107880;132980;112780
67;98700;131900;115700
68;101640;149440;119620
69;106060;139840;123040
70;107680;143760;126940
71;110540;167620;233060
72;114340;152840;134200
73;116440;155900;138260
74;119600;175280;140880
75;122740;163920;144600
76;130140;169920;148820
77;206000;170260;153820
78;133680;174960;156540
79;137900;179480;169120
80;140220;195340;183060
81;143980;195860;197340
82;155280;203660;175940
83;150300;200200;176280
84;153660;220820;214980
85;156660;208080;186040
86;161880;211580;231020
87;165300;216500;194320
88;169040;220940;198900
89;180160;222220;202080
90;188200;229480;207940
91;244920;232720;211800
92;183720;254160;217760
93;199500;242740;221700
94;192340;255580;225560
95;205180;275040;231360
96;200440;259060;235820
97;223460;262940;238520
98;207960;300820;308380
99;212200;273960;251620
100;218160;297940;256800
